strategy,window_start,window_end,profitable,number_of_trades,total_deployed,gross_profit,net_profit,return_on_deployed_capital,average_net_profit_per_trade,median_net_profit_per_trade,win_rate,best_trade,worst_trade,profit_factor,max_drawdown
buy_after_first_green_after_red,2019-04-01,2020-03-31,False,68,6800.0,-14.612832715028556,-15.972832715028556,-0.0023489459875041994,-0.23489459875041993,-0.018506336931936023,0.4852941176470588,5.669655172413799,-9.650668536699394,0.5965472564324206,-21.191888997488775
buy_after_first_green_after_red,2019-05-01,2020-04-30,False,70,7000.0,-17.180704887184596,-18.580704887184595,-0.002654386412454942,-0.2654386412454942,-0.03196718711697909,0.4714285714285714,5.669655172413799,-9.650668536699394,0.5876893286554595,-24.118340185057733
buy_after_first_green_after_red,2019-06-01,2020-05-31,False,69,6900.0,-11.301201233842129,-12.681201233842128,-0.0018378552512814679,-0.18378552512814678,-0.00874000675599394,0.4927536231884058,5.669655172413799,-9.650668536699394,0.6975554646634705,-24.118340185057743
buy_after_first_green_after_red,2019-07-01,2020-06-30,False,70,7000.0,-8.951760967517641,-10.351760967517642,-0.001478822995359663,-0.14788229953596632,0.006492885714879399,0.5,5.669655172413799,-9.650668536699394,0.7642434318178665,-24.118340185057733
buy_after_first_green_after_red,2019-08-01,2020-07-31,False,71,7100.0,-11.311779821682205,-12.731779821682197,-0.0017932084255890418,-0.17932084255890418,-0.011216512955638507,0.4788732394366197,5.669655172413799,-9.650668536699394,0.7225001346044734,-24.118340185057733
buy_after_first_green_after_red,2019-09-01,2020-08-31,False,69,6900.0,-9.714927278028942,-11.094927278028939,-0.0016079604750766578,-0.16079604750766577,-0.00874000675599394,0.4927536231884058,5.669655172413799,-9.650668536699394,0.7349245484548482,-24.118340185057736
buy_after_first_green_after_red,2019-10-01,2020-09-30,False,70,7000.0,-10.291157142412409,-11.691157142412408,-0.0016701653060589153,-0.16701653060589153,-0.009978259855816223,0.4857142857142857,5.669655172413799,-9.650668536699394,0.7432131778989757,-24.118340185057733
buy_after_first_green_after_red,2019-11-01,2020-10-31,False,66,6600.0,-9.52526312197931,-10.84526312197931,-0.0016432216851483801,-0.16432216851483802,0.05437241473765565,0.5,5.669655172413799,-9.650668536699394,0.7524528643389794,-24.118340185057736
buy_after_first_green_after_red,2019-12-01,2020-11-30,False,69,6900.0,-8.355312701524653,-9.735312701524652,-0.001410914884278935,-0.1410914884278935,-0.02,0.463768115942029,5.669655172413799,-9.650668536699394,0.7884983362120294,-24.118340185057736
buy_after_first_green_after_red,2020-01-01,2020-12-31,False,69,6900.0,-9.581998961606864,-10.961998961606865,-0.0015886955016821544,-0.15886955016821544,-0.02,0.463768115942029,5.669655172413799,-9.650668536699394,0.7664379657552484,-24.118340185057733
buy_after_first_green_after_red,2020-02-01,2021-01-31,False,67,6700.0,-8.854304134767832,-10.194304134767835,-0.0015215379305623634,-0.15215379305623633,-0.011216512955638507,0.47761194029850745,5.669655172413799,-9.650668536699394,0.7810423576462665,-24.11834018505774
buy_after_first_green_after_red,2020-03-01,2021-02-28,False,66,6600.0,-7.209057437186774,-8.529057437186774,-0.0012922814298767839,-0.1292281429876784,0.02619520519478781,0.5,5.669655172413799,-9.650668536699394,0.8124270081704945,-24.118340185057733
buy_after_first_green_after_red,2020-04-01,2021-03-31,True,65,6500.0,6.016565454692237,4.716565454692238,0.0007256254545680366,0.07256254545680366,0.14387845681120617,0.5230769230769231,2.661480243922807,-2.43758241758242,1.1658161090323589,-3.7360777080584264
buy_after_first_green_after_red,2020-05-01,2021-04-30,True,63,6300.0,9.409886564250625,8.149886564250625,0.0012936327879762898,0.12936327879762896,0.2093408300658495,0.5555555555555556,2.661480243922807,-2.214475974271659,1.3429216040584666,-3.736077708058426
buy_after_first_green_after_red,2020-06-01,2021-05-31,True,64,6400.0,7.7117820995660775,6.431782099566078,0.0010049659530571998,0.10049659530571997,0.16683642914887334,0.546875,2.661480243922807,-2.214475974271659,1.2728137441917973,-3.7360777080584264
